Symptoms,Frequency
double negative breast cancer,1
runny nose sneezing,1
first dose sore reaction,1
cancer veins port,1
osteoarthritis rheumatoid arthritis,1
monoclonal antibodies,1
double pneumonia,1
pneumonia time,1
slightly tired flu like symptoms,1
onset symptoms,1
sneezing spells,1
slight runny nose,1
loss taste smell respiratory breathing problems,1
lactose intolerant,1
cramping sore bowels diarrhea,1
another diabetes,1
lack effect,1
nerve pain,1
mild fever,1
shivering,1
weak sleepiness,1
excruciating body pain,1
joints spine,1
hurting painful,1
sciatica painful,1
spasms throughout body painless,1
spasms,1
graves  disease,1
spinal pain,1
muscle spasms,1
gait inability,1
painless spasms throughout body waist,1
dyspnoea ( non-serious ),1
chest discomfort ( non-serious ),1
bilateral large pulmonary emboli,1
right ventricular strain,1
muscle aches,1
changes menstrual cycle increased duration,1
increased flow shortened,1
itchy skin,1
wheals,1
painful swelling welts arm,1
extreme muscle bone aches,1
painful lumps injected arm,1
adverse neck pain,1
stiffness,1
numbness,1
light pain right leg,1
vaccine midday symptoms,1
injection site soreness,1
flu-ish symptoms,1
slight nausea,1
st elevation ecg,1
elevated troponin level,1
absence global regional systolic myocardial dysfunction,1
restless leg type symptoms,1
severe charlie horse cramps calve muscles,1
worst muscle cramping,1
twitching,1
pins needles calves ( legs ),1
pins needles legs,1
fainting,1
unresponsive-mild,1
elevated pt legs,1
slightly hypertensive,1
trouble breathing,1
pt panic attack,1
car adverse reaction,1
confusion-medium,1
weakness,1
confusion,1
muscle weakness,1
pain injection site,1
acute pain sites,1
profuse sweating chills,1
sweating chills,1
lack appetite tiredness,1
minor occasional cough,1
sharp pain right lung similar pain pneumonia,1
1st symptom,1
ocular migrane - distortion partial field vision,1
distortion,1
mild frontal headache,1
sever cramping,1
enlarged lymph nodes armpit,1
significant fatigue,1
significant joint pain,1
fever nausea,1
full body severe aches pains,1
severe pain,1
back chest neck,1
dizzy,1
bells palsy side face,1
facial numbness,1
severe dyspnea exertion,1
irregular heart rates,1
heart arrythmias syncope,1
blistering injection site,1
full body aches pains,1
radiating pain injection site,1
throat neck ribs,1
pounding heartbeat chest tightness hours,1
sinus swelling headaches,1
vaccine irregular,1
lumps mouth tongue,1
"throat tightening , welts arms legs",1
diphenhydramine symptoms,1
night sweats,1
congestion,1
cough congestion,1
golf ball sized swelling injection site,1
itching warm touch,1
pain heat injection site,1
soreness/pain left armpit groin,1
light pain heart region,1
sharp pains heart,1
difficulty breathing,1
jaw pain right side,1
similar tmj,1
sharp pains shoulders,1
issues knees,1
"difficult walk , s bones acheing",1
physically active,1
episode partial vision loss left eye,1
right leg nausea,1
loud tone sound head,1
loud tinnitus ears,1
left ear,1
left much louder constant tinnitus,1
tinnitus,1
rhythm loudness,1
sound hearing louder,1
vertigo,1
still symptoms,1
unable sleep symptoms,1
back similar bruise,1
mark/bruise,1
bruise,1
typical bruise injury skin,1
original mark/bruise,1
ed chest pain,1
elevated troponin,1
peak 12k elevated crp,1
admission myocarditis,1
hip joint pain,1
pain arm pit ( swollen lymph nodes,1
severe flu symptoms,1
occasional chest tightness pain,1
tightness pain,1
extreme dizziness,1
head spinning,1
old sacroiliac hip injury sciatica,1
inflammation,1
serious brain fog,1
almost 3 months pain,1
pain diminishing,1
sacroiliacitis,1
serious side effects,1
swollen tender lymph node left collar bone,1
pseudogout right knee,1
problems condition,1
low grade fevers,1
fevers,1
spiking tmax,1
hypotensive,1
tachycardic,1
ekg mild wave abnormalities,1
gi bleed,1
melanotic stool,1
mallory weiss tear,1
ebv dna,1
trending troponins inflammatory markers hemoglobin,1
ebv hyperinflammatory state,1
fever downtrending inflammation,1
myocarditis,1
elevated troponins,1
cross reactivity ebv,1
extreme nausea,1
hot,1
severe pain left arm hours vaccination,1
severe pain left arm,1
head pulsating,1
increased blood flow,1
head pounding,1
severe ringing ears,1
massive swelling sinuses,1
head pressure,1
feeling hot ears,1
massive ear ringing,1
severity noise,1
severe anxiety,1
tachycardia,1
swollen left armpit,1
sharp chest pain right side,1
esophagal spasm,1
adverse reactions,1
painful extreme swelling elbow,1
fatigued,1
constant headache,1
constant headache reduced appetite,1
bad headache cold sweats,1
joints achey nauseous,1
light headedness joint aches,1
left arm pit softball size swollen lymph node,1
hard hot touch,1
swelling injection,1
large lump left arm sore throat,1
severe foot pain feet,1
pain left upper leg,1
sickle cell crisis,1
systems upper thigh/hip pain,1
pain limp,1
generalized aches pain especially joints,1
body ache headache,1
"hives outside elbows , back thighs",1
benign metallic taste mouth,1
lightheaded,1
extreme fatigue,1
exercise intolerance,1
inability tolerate heat,1
excessive sweating,1
blurry vision,1
heavy legs intermittent anxiety,1
increasing severity summer,1
history symptoms vaccine,1
concomitant infections,1
breakthrough infection,1
multiple falls,1
increasing generalized weakness,1
abdominal/ back pain,1
constant fatigue,1
progressively darker urine,1
colon ca mets liver lungs,1
right ear hurting sensitive,1
urgent care pain,1
treating symptoms,1
pain thearpy,1
loss arm movement,1
shrinking muscle arm,1
discoloration digits hand arm,1
dimished pulse,1
severe swelling,1
radiating pain chest shoulder,1
stiffness locking hands,1
lightheadedness,1
tachycardia accompanying symptoms,1
mouth/throat swelling,1
rash fever,1
stuffy nose,1
drug overdose,1
much frequent a-fib episodes,1
a-fib,1
weak,1
irregular heartbeat rapid heartbeat heart palpitations,1
high blood sugar,1
menstrual / vaginal bleeding,1
bad cramps,1
gynecological issues,1
dark red,1
patient s tongue swelled,1
allergic reaction,1
following symptoms,1
severe headache,1
sinus congestion,1
pressure,1
joint pains,1
fatique,1
extreme pain right arm,1
struggling breath,1
intense pain,1
back head headache,1
esp bending pick ball,1
intense vertigo,1
residual dizziness unsteadiness,1
higher level ringing ears,1
occasional wooziness head,1
full pressure feeling around ears,1
diffuse hives lip swelling,1
recurrence hives,1
facial swelling,1
adverse effects moderna,1
heart condition kidney failure,1
cardiac arrest myocarditis,1
stiff sore neck shoulders,1
1am- sore muscles,1
dry heaving,1
energy chills,1
exacerbated asthma symptoms,1
something throat trouble breathing,1
pale airway,1
physical signs hypoxia obstructed airway,1
airway obstruction signs hypoxia,1
choking risk,1
child heart murmur,1
red/swelling injection site,1
swollen lymph left arm,1
dvt right leg life threatening pulmonary embolism,1
death,1
chest tightness,1
deep breath,1
swelling armpit,1
severe vitreous retraction eyes,1
first signs,1
flashes floaters right eye,1
retinal tears,1
retraction,1
floating dark circle mass,1
left eye symptoms flashes,1
floaters,1
retraction begun left eye,1
seemingly permanent impaired vision,1
vitreous retraction,1
second adverse effect continual tinnitus,1
heightened internal audible noise,1
level annoying,1
monoparesis left leg,1
monoparesis leg / paresthesia,1
left lower extremity cva tia,1
l sided chest pain,1
large pericardial effusion,1
miscarriage,1
vision loss tunnel fashion,1
severely swollen,1
itching swelling palms,1
body weakness fatigue,1
upper lower extremities,1
muscle tightness spasm ),1
episodes labored difficulty breathing tightness chest,1
anxious condition,1
hard reddened area injection site,1
severe chills,1
myocarditis pericarditis,1
rapid heart beating,1
6th cranial nerve palsy,1
double vision,1
lot pain,1
size swollen area,1
sore touch,1
adverse reaction,1
heart palpitations,1
blacking,1
extremely pale,1
vomit,1
new onset hfreh,1
extremely swollen painful lymph node swelling arm,1
"pain breast , shoulder , collarbone",1
abnormal menstrual bleeding,1
daily spotting menstrual bleeding,1
varying levels bleeding,1
extremely heavy light spotting,1
myocartidis,1
spiked heart rate flutter,1
unusually dizzy heart frequent episodes,1
increasing rate,1
eye twitching,1
stomach pain,1
high fever,1
excessive fatigue,1
otc pain,1
extreme jaundice,1
tiredness shortness breath,1
autoimmune hemolytic anemia,1
enlarged spleen,1
eye soreness,1
intense anxiety agitation,1
swelling armpit feeling pain heart,1
global itching sensation skin,1
chest directly neck area breasts,1
rash itchy,1
fluid seeping,1
raised skin little bumps,1
migraine,1
consistent fatigue,1
numbness left leg,1
left arm / fingertips,1
drop heart rate,1
sever dizzyness lightheadedness,1
major weakness,1
kind neurological issue,1
long term adverse reaction,1
pre-existing medical issues,1
dementia,1
sleepwalking,1
seizing,1
tonic clonic seizure,1
extremely confused agitated event,1
another unwitnessed seizure,1
swelled,1
right eye dry droopy,1
palsy,1
persistent headache,1
heart skipping beat ``,1
mild chest tightness,1
intermittent shortness breath,1
fever cough,1
unsteadiness,1
popping,1
high pitch ( tinnitis ),1
rashes,1
rashes reddish appearance,1
slightly itchy,1
centers rashes,1
encrusted,1
scabbed,1
slightly sore,1
prior rashes,1
time upper right arm sore,1
speculating,1
several rashes,1
headaches fatigue,1
rash/ swelling around mouth,1
tooth paste,1
left ear tinnitus,1
hives legs arms face,1
sensation burning itching,1
swollen lymph-nodes vaccinated arm,1
soft touch painful,1
hard swollen,1
worst discomfort,1
rate discomfort,1
moderate headache,1
periods ongoing sweats,1
clots pe,1
"right arm , pe , left arm",1
jump stuck needle,1
large kidney stone blocking kidney,1
enlarged kidney,1
short breath,1
arm swelling,1
dvt rt arm,1
2 clots,1
small pulmonary embolism,1
passing large clots,1
huge clots,1
stone,1
clot,1
pe,1
rt clots moved superficial veins,1
right arm clot,1
constant around clock severe disabling pain right shoulder arm,1
activities limited pain,1
meds pain,1
rash skin,1
trauma injury,1
constant pain,1
unprecedented unexplained tumor growth throughout chest cavity,1
patient death,1
constant ringing ears,1
weight loss,1
severe acne break localized neck,1
left armpit lymph nodes,1
swollen painful,1
numbness feet,1
high blood pressure lost appetite,1
feeling burning sensation body,1
depression anxiety,1
sinus ear problems,1
fluttering heart,1
butterfly moving across chest,1
chest pain brain fog,1
neuromuscular,1
severe fatigue,1
increased hr,1
muscle twitching,1
left arm weak painful,1
constant numbness arms hands,1
hairl loss,1
arm still swollen,1
constant ringing left ear,1
er generalized weakness fatigue,1
dusky upper lower extremities,1
acute kidney injury,1
hyperglycemia,1
lactic acidosis,1
constant worsening,1
productive cough yellow sputum,1
intermittent diffuse anterior chest pain,1
hypoxic,1
tachypneic,1
work breathing,1
worsening acidosis,1
hypocarbia,1
cp palpitations,1
near syncope episodes,1
patient continued symptoms,1
dysautonomia,1
orthostatic,1
abnormal,1
increasing symptoms,1
near syncope,1
cp/ palpitations,1
continued symptoms,1
pain right arm spread side ( lymph nodes,1
soreness spread breasts,1
spotting,1
vaginal bleeding post-menopause,1
chest pain heart area,1
shakes,1
teeth chattering,1
lymph nodes,1
incredibly swollen painful,1
mass arm itchy feeling site,1
rash areas,1
"rash welts elbows , hands , forearms , legs , feet including itching bottoms feet",1
rash smaller areas body,1
egg shaped mass,1
asthma upper respiratory issues,1
palsies twitching,1
spasms right eye lid,1
elevated heart rate,1
heart rate shoot,1
weak headache,1
heart complication,1
elevated shaky weak,1
shoulder pain,1
pale,1
clammy,1
complete resolution symptoms,1
recurrence worsening symptoms,1
right tonsil hpv positive symptoms,1
gum irritation,1
loose teeth signs,1
bleeding throat,1
severe muscle aches,1
sweats,1
painful injection site,1
brain fog insomnia,1
herpes zoster ( shingles ),1
unusual bleeding,1
another week bleeding,1
uncontrollable chills shaking,1
really bad aches body,1
irregular heartbeat,1
nose bleeds ears ringing,1
adverse signs symptoms,1
severe body aches,1
heart pounding times,1
respiratory symptoms,1
painful burning sensation sternum area,1
protruding sternum,1
migraine throbbing spread,1
location pain,1
migraines,1
temporary relief pain,1
lymph nodes swelled left arm,1
achiness,1
high mental physical fatigue,1
elevated respiratory resting heart rate,1
tinnitus left ear,1
2nd dose vomiting,1
swelling injection site,1
severe dizziness balance,1
bppv,1
new condition,1
nystagmus,1
allergies reaction,1
signs respiratory distress,1
clammy sweating,1
ear ringing ( tinnitus ) left ear,1
first dose symptoms,1
significant findings,1
extreme tints hearing loss,1
swollen red itchy eyes,1
initial reaction,1
itching red eyes,1
red burning,1
cheeks swollen,1
entire time severe congestion sinus pain,1
redness skin swollen drying,1
peeling skin around eyes,1
swelling cheeks,1
dehydrated,1
immediate problems,1
vaccinations fever fatigue,1
severe migraines,1
marked increase length severity change,1
increase migraines,1
fecal incontinence unconscious,1
extreme pain injection site,1
painful lynph nodes,1
leg paralysis,1
red dot rash around posterior anterior abdomen,1
2.5 days fever,1
pain lumping site,1
elevated levels tinnitus point,1
previously tinnitus,1
jaw tightness,1
tmj spasms,1
bad headaches,1
migraine level ),1
tightness band around sides back head,1
rush heat throughout upper extremities,1
light-headedness,1
muscle weakness left arm legs,1
heart burn,1
embolic stroke,1
intermittent symptoms,1
word finding difficulty,1
chronic urticaria itchy,1
painful hives,1
hives forearms,1
internal ( muscle ? ),1
pain site,1
hives chest soreness site hives,1
bruised,1
discoloration red wheals,1
sweating,1
sudden chest pain,1
left sided pulmonary embolism,1
risk factors clots,1
clots,1
immobility,1
swollen lymph nodes arm vaccine site,1
area tender touch,1
decreased stamina,1
extreme uterine pain,1
rapid pulse,1
severity pain,1
pain immobilizing,1
lightheadness,1
unresponsive-severe,1
muscle aches lymph node pain,1
"left arm , groin",1
leg stiffness,1
heaviness weakness legs pain behind knees charley horses calfs,1
shooting pains arms,1
nausea tender pain stomach ribs,1
pain inflammation,1
night pain,1
positional nerve pain,1
still pain left armpit,1
well lower back pain,1
tender spots ribs,1
nausea mild acid reflux,1
general weakness,1
unresponsive,1
menopause,1
extreme severe headaches,1
"backache , neck , shoulder",1
weakness legs,1
extreme ringing ears,1
pain head neck walk,1
lower back extreme pain,1
severely extreme,1
right sided facial numbness tingling,1
decreased hearing acuity right ear,1
chest wall shortness breath,1
spleen pain,1
liver pain,1
right leg pain,1
large mass left armpit,1
allergic,1
muscles shoulder sore,1
severe limitations,1
severe pain left wrist,1
sometimes burning sensation,1
chiropractor work wrist shoulder,1
uveitis,1
eye inflammation,1
cancer,1
pleural effusion,1
right lung,1
pleural mass,1
horrible mid stomach ache,1
feverish,1
gagging,1
lump left armpit,1
