Symptom,Frequency
neuralgia,11
skin discolouration,11
soreness arm,11
gait inability,11
old sacroiliac hip injury sciatica,11
muscle twitching,11
irregular heartbeat,11
heart racing,11
anaphylaxis,11
diaphoresis,11
lymph nodes swollen,11
blurry,11
cold symptoms,11
heart failure,11
agitation,11
covid-19 pneumonia,11
bradycardia,11
extremely tired,11
sinus headache,11
episode,11
multiple sclerosis,11
consciousness,11
running nose,11
elevated,11
positive cough,11
extreme exhaustion,11
sleep apnea,11
scratchy throat,11
urinary incontinence,11
loss taste,11
loss taste smell,11
abd pain,11
clinical vaccination failure,11
peripheral swelling ( non-serious ),11
allergic reactions,11
allergy,11
musculoskeletal discomfort,11
ache,11
sore muscles,10
lyme disease,10
rash neck,10
patient fever,10
patient allergies,10
body temperature increased,10
oropharyngeal pain ( non-serious ),10
stabbing pain,10
extreme pain,10
bruise,10
a-fib,10
facial swelling,10
lot pain,10
heart palpitation,10
tightness,10
itching injection site,10
cp,10
severe chest pain,10
patient 's symptoms,10
heavy bleeding,10
rash face,10
bruising,10
tia,10
pain left arm,10
pna,10
renal failure,10
excruciating pain,10
heartburn,10
paralysis,10
severe headaches,10
back injury,10
hallucinations,10
swelling ( non-serious ),10
pharyngeal swelling,10
lower left back hip,10
colitis ulcerative,10
abnormal ( non-serious ),10
early symptoms,10
way cough congestion days,10
thyroid disorder,9
pre-diabetes,9
paraesthesia ( non-serious ),9
neck pain ( non-serious ),9
bipolar disorder,9
hyperthyroidism,9
loss smell,9
drug allergy,9
congenital anomaly,9
meniere 's disease,9
myalgia ( non-serious ),9
nasal congestion ( non-serious ),9
lump,9
itchy spot,9
feeling hot,9
lymph node,9
massive headache,9
lymphadenopathy ( non-serious ),9
weight gain,9
gastritis,9
clammy,9
sleepy,9
angioedema,9
extreme tiredness,9
n/v/d,9
stridor,9
mild cough,9
bronchitis,9
dm2,9
septic shock,9
cough shortness breath,9
concussion,9
febrile,9
elevated liver enzymes,9
scleral icterus,9
fluid retention,9
covid-19 virus,9
syncopal episode,9
extreme chills,9
complaints,9
light headed,9
essential hypertension,9
swelling pain,9
severe cramping,9
ckd,9
obstructive sleep apnea,9
difficulty sleeping,9
diabetes ``,9
extreme pain shoulder arm right side,9
hypertension ``,9
hyperhidrosis ( non-serious ),9
ocular hyperaemia,9
severe allergic reaction,9
dysstasia,9
uncontrollable diarrhea,9
cyst mouth,9
itchy rash,9
patients hepatic injury,9
direct hepatotoxicity,9
vaccine-induced immune-mediated hepatitis known phenomenon,9
autoimmune events,9
aih,9
spike protein triggers,9
"aberrant , autoimmune-like hepatic condition",9
cognitive disorder,9
breakthrough covid infection,9
muscle spasm,9
terrible diarrhea,9
chronic spontaneous urticaria,9
chronic cough,8
mental impairment,8
hypertensive,8
menstruation irregular ( non-serious ),8
swelling eyelid,8
chills fatigue,8
feeling tired,8
hypersomnia,8
pain ( non-serious ) onset mar2021,8
dyspepsia,8
double vision,8
huge clots,8
drowsiness,8
encephalitis,8
acute hypoxemic respiratory failure,8
throat swelling,8
inflammatory reaction,8
stiff neck,8
cough fever,8
hearing loss,8
tremors,8
sharp pains,8
rapid heart rate,8
nose bleeds,8
jaw pain,8
extremely painful,8
numbness tingling,8
virus,8
frequent urination,8
poor appetite,8
cardiac arrest,8
associated symptoms,8
flu symptoms,8
nausea vomiting,8
fever body aches,8
chill,8
severe joint pain,8
mild fatigue,8
adverse effect,8
bloody nose,8
joint muscle pain,8
rash macular ( non-serious ) onset,8
rash pruritic,8
throbbing,8
anaphylactic shock,8
bumps,8
bleed,8
contractions,8
stomach cramps,8
memory impairment,8
injection site reaction,8
sore injection site,8
armpit pain,8
chronic obstructive pulmonary disease ( copd ),8
disease recurrence,8
ventricular tachycardia,8
pulmonary thrombosis,8
cerebrovascular accident,8
pain skin,8
drug induced liver injury,8
disc issues,8
heart diseases,8
restless,8
hemolytic flares,8
gastroparesis,8
arthralgia ( non-serious ),8
acid reflux ``,8
obese,8
small large,8
mild cold like symptoms,8
rash arm across chest,8
shoulder/neck pain,8
awful cramps bleeding,8
left side spastic weakness,8
tested nega,8
irregular menstrual cycle,7
mental breakdown,7
low bp,7
sinus pressure t-zone sinuses,7
high cholesterol,7
hyperaesthesia,7
hypothyroid,7
hives itching,7
vaccination site mass,7
diabetes type 2,7
parosmia,7
visual impairment,7
rapid heart beat,7
unresponsive-mild,7
extreme dizziness,7
extreme nausea,7
constant headache,7
pressure,7
intense pain,7
fever cough,7
hyperglycemia,7
abnormal,7
bruised,7
clots,7
uveitis,7
worsening sob,7
seizure disorder,7
urinary symptoms,7
little soreness,7
elevated blood pressure,7
extreme headache,7
severe lower back pain,7
pain right side,7
severe arm pain,7
new symptoms,7
vasovagal syncope,7
pregnancy,7
supraventricular tachycardia,7
breath,7
debilitating,7
seizure activity,7
stomach problems,7
persistent cough,7
tongue swelling,7
redness swelling,7
loose stools,7
wheezing rales,7
difficulty urinating,7
positive,7
symptomatic,7
n/v,7
high heart rate,7
elevated temperature,7
sinus pain,7
leg swelling,7
kidney stones,7
acute appendicitis,7
flushing,7
breathing,7
labored breathing,7
muscle ache,7
shooting pain,7
throwing,7
severe reaction,7
nstemi,7
crying,7
significant shortness breath,7
mild nausea,7
tachypnea,7
joint aches,7
complications,7
low back pain,7
emesis,7
increased heart rate,7
st,7
heart problems,7
hip pain,7
chronic respiratory failure,7
difficulty walking,7
flatulence,7
panic,7
burning sensation ( non-serious ),7
erythema ( non-serious ),7
hot cold flashes,7
muscle fatigue,7
outcome events,7
amenorrhoea,7
atrial tachycardia,7
contusion,7
back pain ( non-serious ),7
intermenstrual bleeding,7
sinusitis,7
metastatic breast cancer,7
obesity ``,7
watery,7
arm shoulder soreness,7
leg cramps,7
temporary blindness,7
swelling hands,7
pain legs straight ankle,7
pain leg,7
numbness tingling extremities,7
skin exfoliation,7
pityriasis rubra pilaris,7
restless legs syndrome,7
joint injury,7
strokes,7
back issues,7
events,7
palpitation,7
cataract,7
panic attack,7
clumsiness,7
spinal stenosis,7
severe lymphadenopathy left arm ( left axilla left elbow crease,7
arm little sore,7
extremely lethargic,7
feeling unwell,7
barometric changes,7
breakthrough symptomatic covid infection,7
moderate left pleural effusion,7
itching rash,7
hemoptysis,7
infarction,7
concussion syndrome,7
iron deficiency,7
green button,7
arthritis pain,7
swollen left eyelid,7
breathing problems,7
related symptoms,7
menstruation irregular ( non-serious ) onset,6
painful lymph node,6
patient headache,6
enlarged lymph node,6
axillary mass,6
arthritis ( non-serious ),6
birth defect,6
basal cell carcinoma,6
vaccination site urticaria,6
sulfonamide allergy,6
swollen lymph nodes left armpit,6
gastric disorder,6
blood pressure abnormal,6
arms sore,6
bladder cancer,6
`` allergies,6
delirium,6
injection site soreness,6
cough congestion,6
joint pains,6
deep breath,6
arm swelling,6
dysautonomia,6
general weakness,6
severe migraine,6
incorrect reconstitution,6
hypoxic respiratory failure,6
conjunctivitis,6
swollen arm pit,6
extremely cold,6
vision changes,6
side effects vaccine,6
adverse side effects,6
vaccine reaction,6
aspiration pneumonia,6
worsening symptoms,6
pain site injection,6
ocular migraine,6
heart fluttering,6
fever headache,6
extremely nauseous,6
dyslipidemia,6
dry heaves,6
nauseas,6
memory loss,6
fluttering,6
generalized fatigue,6
metallic taste mouth,6
small fiber neuropathy,6
paroxysmal atrial fibrillation,6
respiratory illness,6
cardiomyopathy,6
slurred speech,6
shakiness,6
pyelonephritis,6
heart pain,6
guarding rebound,6
chest heaviness,6
visual disturbance,6
fever headaches,6
anxiety attack,6
terrible pain,6
significant pain,6
slight cough,6
flank pain,6
trouble swallowing,6
sweaty,6
orthopnea,6
kidney stone,6
increased blood pressure,6
focal deficit,6
extreme weakness,6
left shoulder pain,6
complete heart block,6
hepatitis,6
abnormal labs,6
bells palsy,6
lack balance,6
covid-19 virus infection,6
uri symptoms,6
elevated bnp,6
glaucoma,6
back ache,6
rales,6
little pain,6
blindness,6
positive covid test,6
fatigue fever,6
extremely fatigued,6
unconscious,6
cold sweat,6
mild congestion,6
pain excruciating,6
appetite,6
respiratory disorder,6
rash macular,6
weight decreased,6
vaccination site haemorrhage,6
vaccination site bruising,6
cramping left breast pain,6
compromised immune status,6
staph bloodstream,6
covid virus,6
musculoskeletal chest pain,6
false,6
headache ( non-serious ),6
joints,6
foot pain,6
hip/leg pain,6
condition aggravated,6
quite painful,6
arm swollen,6
attention deficit hyperactivity disorder,6
muscle disorder,6
minor chills,6
irritable,6
booster,6
`` pain,6
head pain,6
light sensitivity,6
callus bottom feet,6
brain condition,6
lung issue,6
slight headache ``,6
palindromic rheumatism,6
hypoacusis,6
kidney cancer,6
general body pain,6
disability permanent damage,6
cardiac flutter,6
pelvic pain,6
rib pain,6
full body rash,6
joint issues pain,6
portal lobular interface hepatitis,6
vzv,6
postmenopausal haemorrhage,6
moaning,6
positive covid-19 test symptoms,6
acute transverse myelitis,6
clotting bleeding,6
splitting headache,6
migraine ``,6
pain arm chest,6
cough nasal congestion,6
enlarged lymph nodes,6
endocrine abnormalities,6
heart rate irregular,6
respiratory issues,6
stage 4 cancer,6
little sore arm,6
irritable bowel syndrome,6
bloating,6
10/10 pain numbness,6
unsteady dizzy,6
extreme diarrhea,6
ankle pain,6
breakthrough bleeding,6
stiff sore,6
oxygen requirement,6
painful rash arm vaccinated,6
stiff/achy,6
tight sharp pain,6
red itchy,6
partially vaccinated individuals,6
mouth tongue tingling,6
oral ulcer,6
mild diplopia,6
heavy heavy menstrual bleeding golf ball size clots,6
hepatic impairment,6
severe reactions,5
hypoaesthesia ( non-serious ),5
heart rate abnormal,5
reporter seriousness events,5
stomach ache,5
body ache pain,5
feeling cold,5
pain legs,5
pericardial effusion,5
lump swollen collar bone,5
mass,5
break infection,5
bad joint pain,5
"pain legs lower back hips bottom feet includes muscles , joints knees ankles",5
swollen throat,5
ear infection ears perforation bleeding,5
vaccination site,5
terrible headache,5
full body aches,5
tension headache,5
pain deep arm pit radiates breast tissue,5
cardiac discomfort,5
blood disorder,5
tension stiffness,5
gingival swelling,5
sickness,5
spinal pain,5
dyspnoea ( non-serious ),5
chest discomfort ( non-serious ),5
severe charlie horse cramps calve muscles,5
pins needles calves ( legs ),5
still symptoms,5
elevated troponins,5
head pressure,5
severe anxiety,5
excessive sweating,5
dry heaving,5
large kidney stone blocking kidney,5
dvt rt arm,5
2 clots,5
small pulmonary embolism,5
respiratory symptoms,5
bppv,5
bad headaches,5
lightheadness,5
extremely dizzy,5
left arm swollen,5
inflammation joints,5
injury,5
irregular heart beat,5
covid infection breakthrough,5
skin rash,5
tylenol fever,5
bodyaches,5
heart arrhythmia,5
chest pain tightness,5
gasping air,5
ibs,5
svt,5
rash body,5
tested positive,5
copd exacerbation,5
similar reaction,5
heart beating fast,5
heart murmur,5
congestion rhinorrhea,5
severe pain injection site,5
atelectasis,5
ear fullness,5
elevated d-dimer,5
generalized body aches,5
chest pressure,5
increasing sob,5
lymphoma,5
generalized malaise,5
problem,5
early menstruation,5
cold-like symptoms,5
body sore,5
back neck pain,5
neck stiffness,5
diverticulitis,5
additional symptoms,5
hyponatremia,5
nerve damage,5
fullness,5
chronic diastolic congestive heart failure,5
d-dimer elevated,5
little headache,5
dull,5
right hip pain,5
alopecia areata,5
stomach pains,5
achy pain,5
falls,5
instance breakthrough covid-19 disease death,5
myasthenia gravis,5
gi distress,5
autoimmune disorder,5
loc,5
prostate infection,5
barre syndrome,5
metallic taste,5
high anxiety,5
menstrual bleeding,5
occasional cough,5
arm syndrome,5
dysarthria,5
numbness legs,5
allergy symptoms,5
copd ( chronic obstructive pulmonary disease ),5
interstitial cystitis,5
cervical adenopathy,5
pancytopenia,5
upper back pain,5
fluid,5
oral pain,5
sweat,5
hypokinesia,5
really bad muscle joint aches,5
rash erythematous,5
thigh pain,5
excruciating,5
pain extremity ( non-serious ) onset aug2021,5
cough ( non-serious ),5
sore joints,5
renal pain,5
severe arthritis deform fingers,5
disturbance attention,5
bad reaction,5
vaccination site inflammation,5
dysmenorrhoea ( non-serious ),5
oligomenorrhoea,5
reactions,5
eyelids open symptoms,5
longer mensis blood clots,5
polymenorrhoea,5
dyskinesia,5
clots heavy,5
head discomfort ( non-serious ),5
anemia ``,5
heavy cramping flow-,5
feeling abnormal ( non-serious ),5
left leg plus hip back pain,5
huge rash,5
vaccination site discomfort,5
rash legs,5
kind tingling numbness,5
idiopathic intracranial hypertension,5
abscess,5
moderate fatigue,5
vaccination site reaction,5
right arm pain,5
left armpit lymph node,5
hypothyroid ``,5
discomfort ( non-serious ),5
ankles swollen allergic reaction,5
pain body/pain left side,5
sciatica pain,5
massive stroke,5
yeast infections,5
ill,5
multiple calcified granulomas lung liver spleen,5
mildly elevated,5
cold chills,5
fluttering heartbeat,5
tingling numbness lower legs,5
calcifilaxis,5
patient afib,5
breast sore tender,5
presentation injury,5
lumps inflamed painful,5
congestive heart failure,5
cognitive issues,5
nasal swab,5
positive pcr test,5
ageusia,5
back disc issues,5
intense headaches,5
menstrual cycle disruption,5
post-menopausal symptoms,5
joint stiffness,5
upper respiratory tract congestion,5
lymphedema,5
guillain-barre syndrome,5
fibroids lungs,5
chronic kidney disease,5
frank bloody,5
almost fainting,5
blistering hives,5
severe vertigo event,5
patient severe allergic reaction,5
diagnosed allergies,5
tinnitus ( non-serious ),5
brain fog vague confusion,5
weakening muscles,5
breast mass,5
gastrointestinal infection,5
pain right side rib area,5
little bit dizzy,5
stress,5
radiating finger tips/lymphadenopathy nape neck,5
sore arms,5
extreme wild ringing ear,5
clinical outcome events,5
ulcerative colitis,5
buzzing sensation body,5
extreme testicle pain,5
neurological deficits,5
neck swollen,5
swollen hands,5
large clots/ tremendous blood urine,5
current symptoms,5
hypokalemia,5
zoster,5
intense chest pain,5
severe left hip lower back pain,5
left forearm,5
right arm itching rash,5
explosive diarrhea,5
large red hot hives,5
lot painful,5
painful touch,5
acute process,5
guillain barre syndrome,5
sudden death,5
adverse drug reaction,5
inflammation extreme pain joints hands,5
cramp back/feels,5
stabbing style cramp,5
burning hands feet joints,5
mild asthma,5
muscles aches,5
tired fatigue,5
little bit sore,5
nasopharyngitis ( non-serious ),5
mild sore arm,5
heart lung inflammation,5
tired sleepy,5
whole body rash itching,5
arthritis x-ray,5
blowing lumbar disks,5
teratoma growth ovary,5
needle stick injury,5
neoplasm malignant,5
severe migraines behind left eye,5
radiating throughout skull,5
enlarged prostate,5
large area tumefactive demyelination,5
periorbital eye strain vision,5
face neck inner ear fullness,5
corneal erosion,5
"pain right thigh , arm knee",5
er bleeding pads,5
swollen painful lymph nodes,5
cataracts,5
food intolerance,5
cerebral venous sinus thrombosis,5
cerebral abnormal,5
sever reaction,5
severe heart palpitations,4
mobility decreased,4
diarrhoea ( non-serious ),4
mania,4
mental disorder,4
sinus pressure headache,4
inflammation left armpit,4
low grade temperature,4
irritability,4
positive covid infection,4
squamous cell carcinoma skin,4
cough headache,4
treatment events,4
thinking abnormal,4
swollen welt injection site,4
dysphonia,4
real bad stabbing pain,4
mensural bleeding,4
chronic state itchiness,4
slightly swollen,4
little swollen,4
extremely swollen,4
jittery,4
poor quality sleep,4
pain problems,4
sleepiness,4
feeding disorder,4
slight runny nose,4
excruciating body pain,4
gi bleed,4
severe pain left arm,4
swelling injection,4
sore touch,4
palsy,4
unsteadiness,4
moderate headache,4
enlarged kidney,4
constant pain,4
near syncope,4
shakes,4
swelling injection site,4
severe migraines,4
extreme pain injection site,4
right leg pain,4
throat closing,4
bacterial pneumonia,4
profuse sweating,4
viral infection,4
still pain,4
anorexia,4
vomiting diarrhea,4
pounding headache,4
severe itching,4
facial pain,4
adverse symptoms,4
ischemic stroke,4
abnormal ekg,4
lbbb,4
dka,4
drooling,4
increased weakness,4
mild pain,4
diabetes mellitus type 2,4
intermittent chest pain,4
tightness throat,4
blood stool,4
ulcers,4
memory issues,4
chest tightness shortness breath,4
premature ventricular contractions,4
occasional dizziness,4
drainage,4
legs elevated,4
stomach bug,4
shock,4
pre-existing active problems,4
gastroesophageal reflux disease,4
complication,4
cough sob,4
general body aches,4
inflammatory response,4
extremely sore,4
much pain,4
congestive,4
severe insomnia,4
pneumothorax,4
positive coronavirus,4
nose bleed,4
severe back pain,4
throat tightening,4
muscle tightness,4
little weak,4
left side,4
migraine symptoms,4
swollen arm,4
positive fever,4
nosebleeds,4
arthralgias,4
speech difficulty,4
benadryl rash,4
myocardial injury,4
nightmares,4
normocytic anemia,4
slight fatigue,4
drowsy,4
spasm,4
pulmonary edema,4
chronic diastolic heart failure,4
increasing shortness breath,4
leukopenia,4
increased work breathing,4
extreme muscle joint pain,4
coughing blood,4
abdominal aortic aneurysm,4
/vomiting,4
bilateral opacities,4
indigestion,4
persistent symptoms,4
convulsions,4
lot anxiety,4
tingling lips,4
aaa,4
ringing ear,4
weird sensations,4
distress,4
sleep pain,4
swelling tenderness,4
le edema,4
chronic pancreatitis,4
really cold,4
covid-19 positive,4
swollen tender,4
swelling lips,4
increased shortness breath,4
hiatal hernia,4
oral swelling rash,4
laryngitis,4
digestive issues,4
irregular,4
swelling left armpit,4
bad chest pain,4
type 1 diabetes,4
slight dizziness,4
discoloration injection site,4
severe diarrhea,4
worsening shortness breath cough,4
chance pregnancy,4
hospital problems,4
pallor,4
episodes,4
fever flu like symptoms,4
blisters lips,4
rash hives,4
pins needles,4
improvement symptoms,4
ovarian cancer,4
second dose pain,4
severe congestion,4
red rash,4
tylenol pain,4
red bumps,4
dermatitis,4
terrible acid reflux,4
help pain,4
cold cough,4
horrible headache,4
hypersensitivity ( non-serious ),4
pruritus ( non-serious ),4
left upper kidney pain,4
psoriasis ``,4
adverse reaction supraclavicular nodes,4
neck shoulder pain,4
symptoms left arm,4
debilitating pain right shoulder joint,4
mild arthrosis,4
bleeding clump,4
significant swelling left neck,4
adverse food reaction,4
crohn 's flare,4
soreness arm third vaccination,4
stomach inflated lower abdomen,4
eye disorder,4
severe case eczema,4
heavy intense cramping,4
greenish,4
clogged blood clot,4
leg neck shoulder pain,4
nervous system disorder,4
sinus pressure pressure back head,4
sweating feeling faint,4
chest pain ( non-serious ),4
burning diffuse headache photo phobia,4
occipital neuralgia,4
dilated blood vessels eyes,4
anaemia,4
eye pruritus,4
extremely tender sore,4
arthritic pain distal interphalangeal joints hands,4
ptsd,4
fatigue ( non-serious ) onset mar2021,4
extrasystoles,4
inflammation ( non-serious ),4
gas diarrhea,4
persistent heart palpitations,4
little red injection site,4
mild chills,4
low grade fever chills,4
pain itching injection site,4
redness warmth injection site,4
feverish conditions,4
right knee pain,4
arm painful,4
tenderness injection site,4
shoulder still sore,4
diabetic ``,4
salivary hypersecretion,4
touching,4
deep pain,4
copd ),4
visual impairment ( non-serious ),4
repeat respiratory infection,4
vaccination site lymphadenopathy,4
citrate free rheumatoid arthritis,4
left wrist humerus bone,4
brain inoperable,4
"difficult stand , lumps arms",4
spot brain inoperable,4
rheumatoid arthritis pain,4
general body pain ( pain,4
yeast infection,4
painful ( sore ) nose,4
fever blisters,4
swollen lips,4
mouth sore,4
normal aches,4
oral herpes,4
endometriosis,4
lots mucus,4
gerd ``,4
meclizine vertigo,4
breast discomfort,4
prior covid-19 infection,4
mildly decreased systolic function,4
late gadolinium enhancement myocardial edema,4
late gadolinium enhancement,4
myocardial edema,4
anal incontinence,4
anxiety ( non-serious ),4
tingling sensation tongue,4
immunodeficiency,4
vaccination adverse reaction,4
generalised muscle aches,4
vaccination complication,4
severe edema,4
pain swelling armpit,4
hard hurtful nipples,4
left arm doubled size,4
feeling body temperature change,4
severe asthma,4
mass nerve pain shoulder,4
inflamed painful,4
little bit headache,4
sore arms lymph nodes,4
sequelae,4
inflamed lumps legs,4
pulmonary blood clots,4
4th cranial nerve palsy,4
varicella zoster virus infection,4
disc back,4
lung issues,4
bruise sided hip bone,4
bone contusion,4
presyncope,4
increased stools,4
transverse myelitis,4
haemolysis,4
cyst,4
sleeplessness,4
hallucination,4
severe vertigo,4
maternal exposure pregnancy,4
heavy sweats,4
numbness hands feet,4
two urinary tract infection,4
three urinary tract infection,4
breathing issues,4
lack appetite,4
