Disease_ncbi,Frequency_ncbi
high fever,16
excessive fatigue,1
jaundice,2
autoimmune hemolytic anemia,2
eye soreness,1
rash itchy,1
numbness left leg,1
tonic clonic seizure,1
stroke,35
palsy,5
palpitations,55
fever cough,5
unsteadiness,2
headaches fatigue,2
left ear tinnitus,1
pain right shoulder arm,1
trauma injury,3
tumor,31
acne,7
diarrhea vomiting headache muscle pain numbness feet,1
depression anxiety,4
sinus ear problems,1
"numbness , tingling",2
muscle twitching,12
spasms,8
weakness,105
er generalized weakness fatigue,2
dusky upper lower extremities,2
acute kidney injury,13
hyperglycemia,14
lactic acidosis,4
diffuse anterior chest pain,1
hypocarbia,1
dysautonomia ekg,1
cp/ palpitations,1
atrial fibrillation,46
palsies twitching,1
spasms right eye lid,1
shoulder pain,17
bleeding throat,1
muscle aches,25
sweats,16
brain fog insomnia,1
herpes zoster,13
shingles,8
tinnitus,65
migraines,27
migraine,95
achiness,8
high mental physical fatigue,1
tinnitus left ear,4
epley manuever effect nystagmus,1
respiratory distress,33
hearing loss,14
swollen red itchy eyes,3
congestion sinus pain,3
fever fatigue,6
fecal incontinence,2
leg paralysis,1
hopitalization,1
nuerologyguillain barre,1
pain lumping,1
bad headaches,3
muscle weakness left arm legs,2
heart burn,1
dx embolic stroke,1
chronic urticaria itchy,1
sudden chest pain,1
uterine pain,2
lightheadness,3
weakness legs pain,1
nausea tender pain stomach ribs,1
pain positional nerve pain,1
pain left armpit,1
acid reflux,4
vomiting-medium,1
"backache , neck , shoulder",2
weakness legs,4
right sided facial numbness tingling,1
decreased hearing acuity right ear,1
dizziness heart palpitations,1
chest wall shortness breath spleen pain liver pain,1
pain left wrist,2
uveitis,9
eye inflammation,1
cancer - pleural effusion,1
sarcoma,1
neck stiffness right side shoulder,1
sob dizziness,1
aneurysm stroke vasospasms,1
coughing spasms,1
shortness breath,2
numbness right left foot,1
right calf right wrist,1
auscaltation,1
evening leg weakness,1
weakness right leg,3
head neck cta,1
hemerrhage,1
right arm weakness,1
repeat head neck cta,1
small vessel disease,1
syncope muscle rigidity,1
muscle cramping discomfort,1
joint discomfort,1
myofascial dysplasia,1
degenerative disc disease,1
numbness right arm puffy right hand well vein enlarging,1
loss appetite fatigue,1
redness itching,1
fatigue chest pain,3
gi pain,1
rule-out myocarditis,1
swelling left eyeball,1
anemia,22
afib,2
angioedema,11
aura,1
photophobia,14
/phonophobia,1
aphasia,6
neurological diagnosis complex migraine,1
drowsiness,6
abdominal cramps,3
dizziness weakness,6
scleroderma,7
tachycardia headache,1
pain soft palate,1
12/17/2021 - nasal congestion,2
swallowing tounge swelling,1
neck lower arm bicep,1
insanely itchy rash,1
projectile vomiting,1
extreme fatigue,3
torticollis,1
rom left shoulder / neck,1
scoliosis,2
puffy upper lower eyelids,1
eyelid edema,1
nausea bad diarrhea,1
bacterial pneumonia,8
optic neuritis,1
itching scalp back neck,1
tender/painful lump right shoulder,1
-looking hard lump shoulder,1
abdominal cramping,3
spine inflammation,1
right shoulder spasm,1
lymph node/gland swelling armpit,1
pfizer dx gianotti crosti rash,1
covid19 pneumonia,6
nausea diarrhea vomiting,1
constipation,19
sob weakness,2
covid-19 infection,37
covid19 infection,4
irritation itchiness eyes,1
conjunctivitis,7
copd hypertension,2
vomiting diaphoresis,2
pain constant upper left shoulder shooting pain neck,1
left breast pain,1
pain knuckles,1
joint pain swollen elbows hands,1
rheumatoid arthritis joint pain,1
joint pain discomfort,1
shortness breath chest pain,2
low-grade fever,18
conjunctivitis diarrhea emesis,1
malignancy,8
"pain lower back , right hip right leg",1
neurological flare,1
seizure disorder,4
ed weakness letharginess,1
anxiety depression,7
fatigue fever,10
hyperlipidemia,38
bph,9
vitamin-d deficiency,1
rash extremities,1
erythema multiforme,3
ed 12/31/21 leukocytosis thrombocytopenia,1
myalgias,45
kawasaki disease,1
bilateral pleural effusions,4
coronary artery calcified plaques,1
atrophic left kidney,1
atherosclerotic disease,4
intensive care stroke,1
acute cva,1
full body neuropathy,1
bell 's palsy,29
accute endocarditis,1
diplopia,20
ocular nerve palsy,1
ear pain,32
chronic nausea,1
persistent body aches,1
shooting pains bilateral arms,1
bilateral saddle pulmonary embolism,3
tylenol fever,4
gallstones,5
spasms legs,1
muscle cramps,1
parasthesias,1
pericarditis,40
weakness right tricep,1
acute hypoxic respiratory failure,20
acute appendicitis perforation,1
peritonitis,1
abscess gangrene,1
vomiting anorexia,1
fevers,21
obstipation,1
phlegmon abscess,1
perforated appendicitis,1
weakness leg pain,3
seizure autoimmune encephalitis,2
encephalitis,8
atrophy temporal lobes inflammation,2
grand mal seizure,2
respiratory failure,16
acute stroke pontine hemorrhage,1
er generalized fatigue weakness,1
b/l airspace disease,1
h/o breast cancer,1
er ams breast pain,1
droopy right upper eyelid,1
sepsis due aspiration pneumonia,1
hematuria,16
pediatric infectious disease,1
arm numbness,1
underarm pain swelling,2
coughing,11
sudden total hearing loss,1
booster flare diverticulitis,1
loss vision left eye,1
swelling optic nerve,1
aortic valve,1
blisters pruritus,1
lung disease,2
heart failure,24
sepsis,21
acute hypoxemic respiratory failure,10
atrial fibrillation rvr,3
hypernatremia,2
granulomatosis polyangitis multisystem involvement,2
intra-alveolar hemorrhage,2
esbl-producing klebsiella pneumonia,2
joint pain left elbow left hand,1
shortness breath fever,2
vomiting diarrhea,17
appendicitis,28
viral gastroenteritis,1
lightheadedness headaches,1
paralysis,14
12/31/21 due l lower extremity weakness,3
lung mass l1 fracture,3
bladder incontinence,1
generalized weakness,16
acute pulmonary edema,1
acidosis,2
hypoxic systemic inflammatory response syndrome,1
throat swelling,5
covid,62
sudden tinnitus,1
pain right side head like bad headache,1
pain shoulder radiating spine arm elbow,1
lower back pain,12
demyelination,4
pm- fever,1
pain fever,4
droop right eyebrow,1
anti-inflammatories bell 's palsy,1
light-headedness numbness,1
chronic fatigue,8
tinnitus paresthesia,1
* peripheral neuropathy,1
aching cramps lower legs feet,1
swallowing problems,1
* autonomic neuropathy,1
bladder control,1
pneumonia rhabdomyolysis breaking muscles,1
paralysis left side,2
sweating dizziness,2
fever body ache,1
cough fatigue,4
heart racing headache,1
heart fluttering,2
c/o cough,6
sob,61
left sided chest pain,2
weakness right side face,1
pain right ear,1
facial pain,5
teeth pain,1
tickle throat,2
drainage congestion,1
allegic rhinitis eczema,1
intermittent headache,1
fever headache,6
immune-mediated fever,1
viral infection,1
dyspnea/cough,1
patchy bilateral airspace disease,2
demyelinating lesions,2
cardiac arrest,4
typical arm pain swelling,1
stomachache headache,1
heart arrhythmia,4
s/s anaphylaxis,1
left chest pain,1
trouble swelling coughing,1
ischemic stroke,5
testicular cancer,2
fever malaise,1
cardiac arrhythmia,2
constipation gastroparesis,1
severe arm pain,4
interstitial cystitis disease,1
muscle joint pain,22
diarrhea palpitations,1
pmh rheumatoid arthritis,1
immunocompromised,1
non ischemic cardiomyopathy,1
dyslipidemia breast uterine cancer,1
weakness nausea vomiting,1
ground-glass opacities,2
pulmonary edema,8
spouse headache nausea/upset stomach,1
swelling lips,6
"tongue , throat , trouble breathing",1
right leg pain,3
alleve pain swelling,1
upper respiratory `` barking `` cough,1
congestion paranasal sinus cavity,1
dka,2
dry cough,8
chest discomfort fevers,2
stridor,6
intra oral swelling,1
wheezing,24
chest pain tightness,1
intraoral swelling,1
drooling,4
difficulty breathing,3
chest pain/tightness,2
stridor intra oral swelling,1
swelling face/lips,1
swallow drooling,1
swelling lymph nodes arm right breast ( lots swelling,1
stomach ache cramping,1
chronic pain syndrome,1
weakness fatigue,5
bronchitis,5
emphysema,2
faint opacities,1
leukocytosis,15
acute chronic hypoxic respiratory failure,2
covid-19 pneumonia,41
rotator tendonitis,1
100-103f headache,1
blisters pustules,1
weakness dry cough,2
nauseas,3
fibromyalgia rheumatica,1
giant cell arteritis,2
pleural effusion,13
cardiomegaly,4
acute fracture,1
bilateral airspace disease,5
mucosal thickening,4
maxiallary sinuses,1
ethmoid sinuses,1
calvarial fracutre atherosclerotic vascular calcifications,1
intracranial hemorrhage,2
posterior fossa,1
cerebral volume loss,1
hydrocephalus,2
pneumonia hypoxia,1
acute distress,2
peripheral edema,2
rhabdomyolysis,2
remdesivir dexamethasone covid pneumonia,1
acute leg pain,1
hypoxic respiratory failure,27
covid-19 pneumonia - covid-19 pneumonia,1
bacterial infection - acute rhabdomyolysis,1
eliquis - left popliteal baker 's cyst - unilateral weakness,1
hydrocephalus bilateral third ventricle enlargement,1
stroke residual weakness,1
deficiency - acute hypokalemia,1
concussion/ memory loss,1
vasovagal syncope,6
itchiness,12
swelling tongue/lips,1
phlegm,3
angioedema edema,1
low fever,3
joint ache,1
fluttering,3
cholinergic urticaria,1
itchy,19
subcutaneous burning itchiness,1
liver cancer,1
type 2 diabetes,15
dyspnea,41
infectious disease,8
remdesivir,2
"lightheaded , muscle aches",1
swollen lymph nodes,2
exacerbated pots symptoms,1
sacral pain,1
stiff neck,5
headache abdominal pain,1
non-pruritic urticaria,1
abdominal cramping bleeding,1
dysfunctional uterine bleeding,1
bladder infection,2
spasms fatigue,1
muscle cramps insomnia,1
fatigue body aches,3
atrophy shoulder,1
muscle atrophy,3
disability joints,1
chronic cough,2
vision impairment,1
lower extremity edema,5
bibasilar opacification,1
chest- moderate right pleural effusion,1
left pleural effusion,12
patchy ground-glass opacities bilateral upper lobes,1
alveolar pulmonary edema,1
acute respiratory failure hypoxia,7
covid-19 pneumonia chf exacerbation,1
lasix emergency,1
bradycardia,10
hypotension,20
vertigo diplopia,1
ed `` nausea,2
pmhx `` hypertension,6
pre-diabetes,5
diverticulosis,3
osa,3
hld depression,2
ed vomiting,1
generalized fatigue,3
weakness dehydration,1
ed abdominal pain,1
ed weakness,3
ed `` weakness numbness right hand ``,2
fever/chills,4
axillary cervical lymphadenopathy,1
enlarged tonsils,1
persistent fatigue,1
pmhx `` asthma,2
htn,11
dyslipidemia,9
pmhx `` crohn 's disease,2
ec ed `` progressive lower limb weakness ``,2
chronic progressive multiple sclerosis,2
pmhx `` gestational diabetes mellitus,2
gdm,2
ed `` arm pain ``,2
mwf,2
cad,14
diabetes mellitus type 2,6
morbid obesity,18
pulmonary hypertension,3
dvt ``,2
ed `` dizziness,2
pmhx `` lung cancer,2
ed `` fatigue,2
pmhx `` liver cirrhosis,2
obesity,31
cervical spinal injury ``,2
pmhx `` pontine cavernous malformation ``,2
weakness ``,4
dementia,18
fatigue sinus headache,1
throbbing burning bilateral breasts,1
inflammation heart,1
hyperthyroid,3
1/2/2022 - droopy left mouth,1
fever hallucinations,1
cognitive impairment,9
mental illness dementia,1
acute respiratory failure,19
covid pneumonia metabolic encephalopathy,2
c/b dehydration w/aki hypernatremia,2
numbness lips,1
vitamin deficiency,1
hemorrhoids,1
polyp,1
hemorrhoids non-bleeding,1
burning chest pain,1
heart attack asthma,1
fatigue low grade fever,2
supraventricular tachycardia,4
ulcerative colitis - bad diarhhea,2
catscan,2
ulcerative colitis,13
post-vaccine myocarditis,2
septic shock,13
urinary bacterial pna,2
remdesivir decadron,2
bacterial sepsis covid respiratory failure,2
panhypopituitarism,2
lymphoid hyperplasia,2
posterior pharynx,1
ulcers,3
pancreatitis,15
epigastric pain,1
varicose veins,2
purpura anularis telangiectodes,3
fatigue/weakness,2
urinary symptoms,5
essential tremors,1
hlab27 anterior uveitis,1
due vision loss discomfort left eye,1
anterior uveitis,1
closed angle glaucoma,1
swollen arm back pain,1
numbness hand lips,1
dizziness needlesticks,1
guillain- barre syndrome,1
small fiber neuropathy,6
01/3/2022 fever,1
intracranial traumatic injury,1
"sore arm , slight fever",1
right side facial paralysis throbbing pain ear,1
muscle pain weakness,1
diffuse urticaria l upper face angioedema,1
fluticasone asthma,1
febrile/respiratory illness,1
abnormal heavy bleeding,1
cramping pelvic pain,1
premature ventricular contractions,1
nonsustained ventricular tachycardia,1
cardiomyopathy,5
difficulty putting weight foot,1
inflammation ankle foot,1
cramping,3
neuropathic pain right foot,2
heart racing,3
pain behind eyes,1
left ear pain swelling,2
left facial swelling,1
slurred speech,2
left bell 's palsy,1
-vertigo,1
vestibular vertigo,1
neuritis,1
occlusion right coronary artery,1
colon area stomach right armpit,1
left leg pain swelling,2
tongue swelling,6
facial rash,2
chronic joint pain right elbow wrist.none,1
nonproductive cough,4
bifrontal headache,2
left-sided weakness numbness,1
dx bell 's palsy,1
right sided facial weakness,1
left sided low back hip pain,1
injury trauma,1
tingling numbness,3
rash swelling itching,1
rash face,1
lips swollen,1
"puffy face little rash left hand right arm , itchy",1
congested cough,1
urticarial rash,3
peripheral vascular disease fibromyalgia,1
pyelonephritis,6
cervical cancer,1
pulmonary nodules,2
diarrhea loss consciousness,1
ground glass opacities,1
bilateral pneumonia sepsis,1
cough fever,7
12/15/21 dyspnea,1
pulmonary embolus,3
rash stomach left thigh,1
whole body fatigue,1
shot - heart pain,2
acute right elbow swelling pain,1
trauma,11
edema particularly region lateral epicondyle extensor muscles/tendons,1
fracture joint effusion,1
edema pain nsaids,1
reactive arthritis,5
left side paralysis,1
purura sign cancer,1
chest congestion,17
sleepiness,1
b/l upper extremities,1
psoriatic condition,1
perihilar peribronchial cuffing,1
hematologic gastrointestinal organ involvement,1
shock,2
conjunctival infection periorbital edema,1
ed acute chest/abdomen pain,1
acute cholecystitis,1
c/o itchy throat cough,1
covid-like illness,1
periorbital edema,1
uti,7
lesions tongue,1
vaginal pain,1
vaginal ulcerations,1
oral/throat ulcerations,1
bechet 's disease,1
pitched tinnitus,1
poa,4
osteomyelitis vertebra,2
sacroiliitis,2
lumbar spine pain,2
gastroesophageal reflux disease,7
esophagitis,3
benign positional vertigo,2
benign essential hypertension,2
hyperlipidemia type 04/26/2016,1
osteopenia spine 10/20/2014,1
aortic valve sclerosis,2
colonic polyps,2
cervical spine arthritis,2
bilateral low back pain sciatica,2
chest pain chest pain,1
aortic sclerosis hypertension,1
covid+ status w/,1
scleral icterus,9
abdominal tenderness,14
tenderness deformity,3
skin jaundiced pale,2
lesion rash,2
"neck , back , arm pain",1
w/ conduction abnormality,1
aortic sclerosis w/out stenosis,1
aortic sclerosis,1
"chest , neck , back , arm pain",1
hx colonic polyp,1
osteopenia spine,1
bunion right foot,1
abdominal pain diarrhea,2
negative joint pain muscle pain,1
congestion rhinorrhea,7
right lower leg : edema,11
left lower leg : edema,10
peeling fingers toes,1
multiple sclerosis,11
nausea vomiting diarrhea,5
urinating recent fevers,1
dermatitis herpetiformis,1
"muscle , joints",1
left sided neck pain,1
rash/ shortness breath/ uri symptoms/ vomiting,1
atelectasis,4
airspace disease,4
100+-degree fever,1
sweating,17
numbness tingling left arm radiating fingers,1
numbness/tingling right upper leg,1
bruising legs ( inner thighs knees,3
nasal drainage,5
itchy eyes,3
ear fullness,5
upper respiratory infection,2
vertigo debilitating,2
physical therapy vestibular therapy vertigo,2
headache behind right eye,1
pityriasis,2
aspiration pneumonia,11
acute hypoxemia aspiration pneumonia,3
left lower lobe pneumonia,3
light headedness headache,1
swollen painful lymphnodes,1
12/13/2021 neuropathy,1
shakiness,6
burning sensation,15
anemia chronic disease,1
tia,2
hospital fatigue,1
pt body myalgias joint pain,1
erythema nodosum,2
multifocal airspace opacity,2
cae atrial fibrillation,1
chronic kidney disease,12
runy nose eye infection,1
ekg,1
back pain pneumonia,1
ed generalized fatigue,1
bad vertigo,1
butterfly rash,1
pain inflammation,3
facial injury,1
lip swelling rash,1
rhinorrhea,19
dx hypoxia,1
ams,1
painful swollen lymph node left armpit pain radiating left breast,1
inflammation joints,2
toe deformity,1
fever headaches,2
discomfort bloating,1
b-cell lymphoma,5
"sigmoid colon , right ureter",1
head trauma,6
lymphoma,8
weakness abdominal pain,1
left upper lung opacity,1
belhassen ventricular tachycardia,1
swollen finger joints,1
anxiety attack,4
colitis,13
generalized malaise,2
dry nonproductive cough,1
bilateral patchy opacities,1
aching pain eyes,1
fever dry cough,3
arrythmia,4
"blistery bumps face , neck , ankles legs",2
sinus like nasal symptoms,1
"congestive , coughing , loss voice",1
nausea vomiting,51
auditory hallucination,1
tactile hallucination,1
upper abdominal pain,4
nausea fever,4
migraine headache,3
headache pain leg,1
swelling throat,2
rash bilateral lower legs,1
right lower pulmonary embolism,1
pneumothorax,6
para pneumonic effusion,2
intubation proning,2
hyperammonemia encephalopathy,2
swelling left axilla,1
left occipital headache,1
vision disrupted vertigo,1
weakness myalgias,1
headache vertigo,1
autoimmune diseases,2
abdominal pain diarrhea dysuria,1
nausea vertigo,1
hypoglycemia,7
chest pains,21
heart attack,20
mid back pain,6
peripheral neuropathy,11
arthropathy,5
"proximal , medial , distal interphalangeal joints",1
joint swelling,17
groin legs,1
overuse injury,1
renal failure,16
ckd acute metabolic encephalopathy,3
vascular dementia,3
covid tylenol in-patient,6
asthma hypertension,1
left axillary lymphadenopathy,1
pain weakness,2
heart palpatations,2
muscle joint ache,2
narrowing arteries left leg,2
`` claudication ``,2
hydrocele,2
costophrenic angle left lower lobe,1
small- moderate-sized right pleural effusion,2
moderate-to-large left pleural effusion,1
mild-to-moderate cardiomegaly,1
axillary adenopathy,1
calcification aortic valve,1
aortic valvular stenosis,1
nodular heterogeneous appearance thyroid gland,1
wall thickening,1
left-sided colon diverticulosis,1
diverticulitis,7
subcutaneous fat abdomen pelvis,2
moderate-to-extensive atherosclerotic disease,1
hemangioma,1
w/progressive weakness,2
nose bleeds,2
achy joints,2
bloody nose left nostril,1
congestion cough,1
extremeness headache,1
positional vertigo,4
malaise runny nose,1
earache pains,1
nodules thyroid,1
cyst left breast,1
tingling numbness right arm radiating forearm fingertips,1
"numbness around nose , mouth cheeks",1
headache radiating jaw,1
"chest , throat , jaw pain",1
`` heart palpitations,3
left eye lid swelling,1
ed heart palpitations swelling,1
cyst right breast,1
shoulder joint injury,1
temporary vision memory loss,1
agitation,4
confusional migraine,1
bells palsy type symptoms,1
stiffness numbness,1
gout,22
breakthrough disease death,2
covid-19 disease,7
eye pain,12
vision,3
acute eye inflammation,1
visceral detachment,1
vision difficulties right eye,1
"pain toe , knees , shoulders",1
105° w/ severe cough congestion,1
skin inflammation,1
shoulder muscle wasting,1
body aches body pain fever,1
running nose congestion,1
running nose fever,1
hvae rhinorrhea sneezing,1
acute lymphoblastic leukemia,1
numbness tingling right arm leg one occasion numbness tingling right side face,1
back neck pain,2
facial pain due nose injury,1
nose injury,1
encephalomalacia,1
lyme disease-,1
autoimmune diseases-negative,1
diarrhea vomiting pain burning sensation digestive bowel,1
neck tension pain head,1
crying pain,2
foggy vision,2
hearing going,1
sore lip,1
fatigue body aches headaches,1
cough/congestion,2
belly pain,1
low-grade fevers,2
pain visual disturbance,4
chest pain leg swelling,4
flank pain vaginal bleeding,4
back pain gait problem,2
light-headedness,11
numbness headaches,4
left-sided chest pain,2
pre-syncope,1
swelling right armpit,1
throbbing headache,4
swelling front side arm well numbness,1
itching soreness,1
throat pain,3
chest pain coughing,5
headache neck pain,2
focal weakness,6
speech vision,2
trauma injuries,2
aneurysms brain bleeds,2
nosebleeds,5
sinus pain sneezing,2
leg swelling,10
anal bleeding,2
arthralgias,7
back pain neck pain,2
speech difficulty,4
vestibular neuritis anxiety,1
anaphylactic symptoms,1
vaccine phobia,1
"congestion , body aches",2
` inflammation,2
numbness thighs feet,1
chronic congestive heart failure,3
chronic le edema,1
shortness breath orthopnea,1
chronic systolic heart failure,2
hyperlipidemia/dyslipidemia,1
renal artery stenosis,1
